"id";"name";"shortname"
(0x00, 0x00, 0x07);"Digital Music Corporation";
(0x00, 0x00, 0x0E);"Alesis";
(0x00, 0x00, 0x15);"KAT";
(0x00, 0x00, 0x16);"Opcode";
(0x00, 0x00, 0x1A);"Allen & Heath Brenell";
(0x00, 0x00, 0x1B);"Peavey Electronics";
(0x00, 0x00, 0x1C);"360 Systems";
(0x00, 0x00, 0x20);"Axxes";
(0x00, 0x00, 0x74);"Ta Horng Musical Instrument";
(0x00, 0x00, 0x75);"e-Tek Labs (Forte Tech)";
(0x00, 0x00, 0x76);"Electro-Voice";
(0x00, 0x00, 0x77);"Midisoft Corporation";"Midisoft"
(0x00, 0x00, 0x78);"QSound Labs";
(0x00, 0x00, 0x79);"Westrex";
(0x00, 0x00, 0x7A);"Nvidia";
(0x00, 0x00, 0x7B);"ESS Technology";
(0x00, 0x00, 0x7C);"Media Trix Peripherals";
(0x00, 0x00, 0x7D);"Brooktree Corp";
(0x00, 0x00, 0x7E);"Otari Corp";
(0x00, 0x00, 0x7F);"Key Electronics, Inc.";
(0x00, 0x01, 0x00);"Shure Incorporated";
(0x00, 0x01, 0x01);"AuraSound";
(0x00, 0x01, 0x02);"Crystal Semiconductor";
(0x00, 0x01, 0x03);"Conexant (Rockwell)";"Conexant"
(0x00, 0x01, 0x04);"Silicon Graphics";"SGI"
(0x00, 0x01, 0x05);"M-Audio (Midiman)";
(0x00, 0x01, 0x06);"PreSonus";
(0x00, 0x01, 0x08);"Topaz Enterprises";
(0x00, 0x01, 0x09);"Cast Lighting";
(0x00, 0x01, 0x0A);"Microsoft";
(0x00, 0x01, 0x0B);"Sonic Foundry";
(0x00, 0x01, 0x0C);"Line 6 (Fast Forward)";"Line 6"
(0x00, 0x01, 0x0D);"Beatnik Inc";"Beatnik"
(0x00, 0x01, 0x0E);"Van Koevering Company";
(0x00, 0x01, 0x0F);"Altech Systems";
(0x00, 0x01, 0x10);"S & S Research";
(0x00, 0x01, 0x11);"VLSI Technology";
(0x00, 0x01, 0x12);"Chromatic Research";
(0x00, 0x01, 0x13);"Sapphire";
(0x00, 0x01, 0x14);"IDRC";
(0x00, 0x01, 0x15);"Justonic Tuning";
(0x00, 0x01, 0x16);"TorComp Research Inc.";
(0x00, 0x01, 0x17);"Newtek Inc.";
(0x00, 0x01, 0x18);"Sound Sculpture";
(0x00, 0x01, 0x19);"Walker Technical";
(0x00, 0x01, 0x1A);"Digital Harmony (PAVO)";
(0x00, 0x01, 0x1B);"InVision Interactive";
(0x00, 0x01, 0x1C);"T-Square Design";
(0x00, 0x01, 0x1D);"Nemesys Music Technology";
(0x00, 0x01, 0x1E);"DBX Professional (Harman Intl)";"DBX"
(0x00, 0x01, 0x1F);"Syndyne Corporation";
(0x00, 0x01, 0x20);"Bitheadz";
(0x00, 0x01, 0x21);"Cakewalk Music Software";"Cakewalk"
(0x00, 0x01, 0x22);"Analog Devices";
(0x00, 0x01, 0x23);"National Semiconductor";
(0x00, 0x01, 0x24);"Boom Theory / Adinolfi Alternative Percussion";
(0x00, 0x01, 0x25);"Virtual DSP Corporation";
(0x00, 0x01, 0x26);"Antares Systems";
